Abortiporus biennis
Acanthocinus aedilis
Aceras anthropophorum
Achillea nobilis
Achillea ptarmica
Achillea tomentosa
Acrocordia gemmata
Actitis hypoleucos
Adonis aestivalis
Adonis flammea
Adonis vernalis
Adscita geryon
Adscita statices
Aegomorphus clavipes
Aegosoma scabricorne
Aeropedellus variegatus
Aeshna caerulea
Aethusa cynapioides
Agonum hypocrita
Agrilus ater
Agrilus derasofasciatus
Agrilus graminis
Agrilus obscuricollis
Agrilus pratensis
Agrilus sinuatus
Agrilus suvorovi
Agrimonia procera
Agrocybe firma
Agrostemma githago
Agrostis canina
Aiolopus thalassinus
Aira caryophyllea
Ajuga chamaepitys
Alauda arvensis
Alcedo atthis
Alectoria sarmentosa
Alectoris graeca
Aleurocystidiellum disciforme
Aleurodiscus amorphus
Allium angulosum
Allium carinatum carinatum
Allium carinatum
Allium lineare
Allium scorodoprasum
Alopecurus aequalis
Alopecurus geniculatus
Alyssoides utriculata
Alyssum montanum
Alytes obstetricans
Amanita caesarea
Amanita eliae
Amanita franchetii
Amanita gemmata
Amanita mairei
Amanita nivalis
Amara kulti
Amblyodon dealbatus
Amylostereum areolatum
Amylostereum laevigatum
Anacamptis pyramidalis pyramidalis
Anacamptis pyramidalis
Anaesthetis testacea
Anagallis foemina
Anagallis minima
Anaptychia ciliaris
Anchusa arvensis
Anchusa officinalis
Andrena barbilabris
Andrena bucephala
Andrena cineraria
Andrena congruens
Andrena curvungula
Andrena florea
Andrena hattorfiana
Andrena labialis
Andrena lathyri
Andrena mitis
Andrena pandellei
Andrena praecox
Andrena rosae
Andrena thoracica
Andrena viridescens
Andromeda polifolia
Androsace lactea
Androsace pubescens
Androsace septentrionalis
Anogramma leptophylla
Anonconotus alpinus
Antaxius pedestris
Anthaxia candens
Anthaxia salicis
Anthemis arvensis
Anthidium punctatum
Anthophora aestivalis
Anthriscus caucalis
Anthriscus cerefolium
Anthus pratensis
Apatura ilia
Apatura iris
Apera interrupta
Aphanes australis
Aplexa hypnorum
Aporia crataegi
Apus apus
Aquila chrysaetos
Aquilegia alpina
Arabis auriculata
Arabis collina
Arabis nova
Arabis sagittata
Arabis serpillifolia
Arctia caja
Arctia villica
Arctium tomentosum
Arcyptera fusca
Ardea purpurea
Arenaria grandiflora
Arion rufus
Aristolochia clematitis
Artemisia glacialis
Arthonia byssacea
Arthonia cinnabarina
Arthonia leucopellaea
Artomyces pyxidatus
Arum italicum
Asemum striatum
Asio otus
Asparagus tenuifolius
Asperugo procumbens
Asperula aristata
Asperula purpurea
Asperula tinctoria
Asphodelus albus
Asplenium adulterinum
Aster amellus
Aster linosyris
Astraeus hygrometricus
Astragalus cicer
Astragalus depressus
Astragalus exscapus
Astragalus sempervirens
Athene noctua
Atriplex prostrata
Aureoboletus gentilis
Aythya ferina
Aythya fuligula
Bacidia globulosa
Badister collaris
Badister dilatatus
Baetis vardarensis
Balea perversa
Ballota nigra meridionalis
Ballota nigra
Barbastella barbastellus
Beraea pullata
Betula nana
Bidens cernua
Bidens tripartita
Bijugis bombycella
Biscogniauxia marginata
Blackstonia acuminata
Blackstonia perfoliata
Blitum virgatum
Boidinia furfuracea
Boletopsis leucomelaena
Boletus depilatus
Boletus fechtneri
Boletus queletii
Boletus rhodoxanthus
Boletus satanas
Boletus subappendiculatus
Boloria aquilonaris
Boloria dia
Boloria selene
Bombina variegata
Bombus humilis
Bombus mesomelas
Bombus ruderatus
Bombus subterraneus
Bombus sylvarum
Bombus veteranus
Bonasa bonasia
Bondarzewia mesenterica
Bothriochloa ischaemum
Brachyta interrogationis
Brenthis ino
Brintesia circe
Bromus arvensis
Bromus commutatus
Bromus japonicus
Bromus racemosus
Bromus secalinus
Bryoria bicolor
Bryoria capillaris
Bryoria implexa
Bryum alpinum
Bryum creberrimum
Bubo bubo
Buellia disciformis
Bufo bufo
Buglossoides arvensis
Buglossoides purpurocaerulea
Bulbocodium vernum
Bunium bulbocastanum
Bupleurum longifolium
Bupleurum rotundifolium
Buprestis haemorrhoidalis
Buprestis novemmaculata
Buprestis octoguttata
Buprestis rustica
Buxbaumia viridis
Buxus sempervirens
Caenis beskidensis
Calamagrostis canescens
Calamagrostis pseudophragmites
Calamintha ascendens
Calamintha nepeta
Calendula arvensis
Calepina irregularis
Callianthemum coriandrifolium
Callidium aeneum
Callidium coriaceum
Callimorpha dominula
Calliptamus barbarus
Calliptamus italicus
Calliptamus siciliae
Caloplaca alnetorum
Caloplaca cerinella
Caloplaca lucifuga
Caloscypha fulgens
Camelina microcarpa
Campanula bononiensis
Campanula cervicaria
Campanula latifolia
Campylopus atrovirens
Canis lupus
Cantharellus melanoxeros
Caprimulgus europaeus
Carcharodus alceae
Cardamine dentata
Cardamine trifolia
Carex appropinquata
Carex bicolor
Carex buxbaumii
Carex chordorrhiza
Carex demissa
Carex diandra
Carex dioica
Carex distans
Carex disticha
Carex elongata
Carex ericetorum
Carex fimbriata
Carex halleriana
Carex hartmanii
Carex lasiocarpa
Carex limosa
Carex maritima
Carex microglochin
Carex otrubae
Carex pauciflora
Carex paupercula
Carex pseudocyperus
Carex pulicaris
Carex riparia
Carex tomentosa
Carex vaginata
Carex viridula
Carex vulpina
Carpodacus erythrinus
Catillaria pulverea
Catoscopium nigritum
Caucalis platycarpos
Causa holosericea
Celtis australis
Centaurea cyanus
Centaurea nemoralis
Centaurea pseudophrygia
Centaurea stoebe
Centaurea triumfettii
Centaurea valesiaca
Centaurium pulchellum
Cephalaria alpina
Cephalozia connivens connivens
Cephalozia connivens
Cerambyx cerdo
Cerastium glutinosum
Cerastium pumilum
Ceriagrion tenellum
Ceriporiopsis gilvescens
Cerura vinula
Cetrelia cetrarioides
Chaenotheca brachypoda
Chaenotheca phaeocephala
Chalciporus amarellus
Charadrius dubius
Chazara briseis
Chenopodium botrys
Chenopodium glaucum
Chlorophorus figuratus
Chlorophorus herbstii
Chlorophorus sartor
Chlorophorus varius
Chondrilla juncea
Chondrula tridens
Chorthippus mollis
Chorthippus montanus
Chorthippus pullus
Chrysobothris chrysostigma
Chrysobothris solieri
Chrysochraon dispar
Chrysopogon gryllus
Chrysosplenium oppositifolium
Cicadetta cantilatrix
Ciconia ciconia
Cicuta virosa
Ciliella ciliata
Cilix glaucata
Cirsium tuberosum
Cistus salviifolius
