Simulation_num.,Scenario_ID.string,Simulation_ID.string,Model_mode.string,Scenario_start.real,Scenario_end.real,Step_length.real,Parallel_TPC.string,Pop_scenario.string,Econ_scenario.string,Climate_scenario.string,Spatial_interventions.string,EI_interventions.string,Deterministic_trans.string,Completed.string,EI_ID.string
217,EINAT,217,Simulation,2020,2060,5,N,Low,Ecolo_Urban,rcp26,Y,Y,Y,N,217
218,EINAT,218,Simulation,2020,2060,5,N,Low,Ecolo_Urban,rcp26,Y,Y,Y,N,218
219,EINAT,219,Simulation,2020,2060,5,N,Low,Ecolo_Urban,rcp26,Y,Y,Y,N,219
1076,BAU,1076,Simulation,2020,2060,5,N,Ref,Ref_Central,rcp85,Y,Y,Y,N,212
1077,BAU,1077,Simulation,2020,2060,5,N,Ref,Ref_Central,rcp85,Y,Y,Y,N,213
1078,BAU,1078,Simulation,2020,2060,5,N,Ref,Ref_Central,rcp85,Y,Y,Y,N,214
609,EICUL,609,Simulation,2020,2060,5,N,Ref,Ecolo_Central,rcp26,Y,Y,Y,N,609
610,EICUL,610,Simulation,2020,2060,5,N,Ref,Ecolo_Central,rcp26,Y,Y,Y,N,610
611,EICUL,611,Simulation,2020,2060,5,N,Ref,Ecolo_Central,rcp26,Y,Y,Y,N,611
772,EISOC,772,Simulation,2020,2060,5,N,Ref,Combined_Urban,rcp45,Y,Y,Y,N,772
773,EISOC,773,Simulation,2020,2060,5,N,Ref,Combined_Urban,rcp45,Y,Y,Y,N,773
774,EISOC,774,Simulation,2020,2060,5,N,Ref,Combined_Urban,rcp45,Y,Y,Y,N,774
