Aquila chrysaetos
Capra ibex
Gentiana acaulis
Larix decidua
Leontopodium alpinum
Lynx lynx
Marmota marmota
Pinus cembra
Pinus mugo
Pinus nigra
Pinus sylvestris
Rhododendron ferrugineum
Rhododendron hirsutum
Rupicapra rupicapra
Alauda arvensis
Anguis fragilis
Anthus pratensis
Apus apus
Athene noctua
Buteo buteo
Caprimulgus europaeus
Ciconia ciconia
Corvus corax
Corvus corone
Corvus frugilegus
Corvus monedula
Crocidura russula
Crocidura suaveolens
Cuculus canorus
Emberiza citrinella
Emberiza hortulana
Erinaceus europaeus
Falco subbuteo
Falco tinnunculus
Glis glis
Lacerta agilis
Lanius collurio
Lanius senator
Lullula arborea
Martes martes
Meles meles
Merops apiaster
Milvus migrans
Milvus milvus
Mustela nivalis
Mustela putorius
Oenanthe oenanthe
Otus scops
Parus major
Pica pica
Saxicola rubetra
Sorex araneus
Sorex coronatus
Sturnus vulgaris
Talpa europaea
Turdus merula
Turdus pilaris
Turdus viscivorus
Tyto alba
Upupa epops
Vanellus vanellus
Vulpes vulpes
